id,artistName,endTime,msPlayed,trackName
1738,Niall Horan,2023-11-21 19:14:00,224585,Put A Little Love On Me
1739,Ed Sheeran,2023-11-21 19:18:00,221106,Supermarket Flowers
1740,Blake McGrath,2023-11-21 19:24:00,364149,Let You Love Me
1741,Noah Kahan,2023-11-21 19:26:00,123880,False Confidence
1742,BAYNK,2023-11-21 19:30:00,218086,What You Need
1743,Blonde,2023-11-21 19:33:00,226779,Just for One Night (feat. Astrid S)
1744,Martin Solveig,2023-11-21 19:37:00,202745,Places
1745,Belle,2023-11-21 19:45:00,481378,A Million Miles Away
1746,Cigarettes After Sex,2023-11-21 19:48:00,244949,Nothing's Gonna Hurt You Baby
1747,Cigarettes After Sex,2023-11-21 19:48:00,13589,Nothing's Gonna Hurt You Baby
1748,Claude Debussy,2023-11-21 19:48:00,155875,"Suite bergamasque, L. 75: III. Clair de lune"
1749,Cigarettes After Sex,2023-11-21 19:50:00,111525,Nothing's Gonna Hurt You Baby
1750,gnash,2023-11-21 19:51:00,29651,"i hate u, i love u (feat. olivia o'brien)"
1751,Olivia O'Brien,2023-11-21 19:53:00,175466,hate u love u
1752,Cigarettes After Sex,2023-11-21 19:54:00,15719,Nothing's Gonna Hurt You Baby
1753,Jeremy Zucker,2023-11-21 19:54:00,6054,better off
1754,J Balvin,2023-11-21 19:54:00,2786,LA CANCIÓN
1755,Grand Corps Malade,2023-11-21 19:58:00,267563,Mais je t'aime
1756,Fireboy DML,2023-11-21 19:58:00,487,Peru
1757,Fireboy DML,2023-11-21 19:59:00,27956,Peru
